,precision,recall,f1-score,support
cancel_order,0.9838709677419355,0.9838709677419355,0.9838709677419355,62.0
change_order,1.0,1.0,1.0,70.0
change_shipping_address,1.0,0.9833333333333333,0.9915966386554622,60.0
check_cancellation_fee,0.9850746268656716,1.0,0.9924812030075187,66.0
check_invoice,1.0,1.0,1.0,63.0
check_payment_methods,1.0,0.9558823529411765,0.9774436090225563,68.0
check_refund_policy,0.9833333333333333,1.0,0.9915966386554622,59.0
complaint,1.0,1.0,1.0,52.0
contact_customer_service,0.9838709677419355,1.0,0.991869918699187,61.0
contact_human_agent,1.0,1.0,1.0,57.0
create_account,0.9830508474576272,0.9354838709677419,0.9586776859504132,62.0
delete_account,1.0,1.0,1.0,53.0
delivery_options,0.9649122807017544,1.0,0.9821428571428571,55.0
delivery_period,1.0,1.0,1.0,49.0
edit_account,0.9855072463768116,0.9855072463768116,0.9855072463768116,69.0
get_invoice,1.0,1.0,1.0,72.0
get_refund,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
newsletter_subscription,1.0,1.0,1.0,49.0
payment_issue,1.0,0.9705882352941176,0.9850746268656716,68.0
place_order,1.0,1.0,1.0,65.0
recover_password,0.96875,1.0,0.9841269841269841,62.0
registration_problems,0.9811320754716981,0.9811320754716981,0.9811320754716981,53.0
review,1.0,1.0,1.0,67.0
set_up_shipping_address,1.0,1.0,1.0,59.0
switch_account,0.9661016949152542,1.0,0.9827586206896551,57.0
track_order,1.0,1.0,1.0,63.0
track_refund,1.0,1.0,1.0,54.0
accuracy,0.9914373088685016,0.9914373088685016,0.9914373088685016,0.9914373088685016
macro avg,0.9914421249607167,0.9918196820540794,0.9915412002125757,1635.0
weighted avg,0.9915580095799376,0.9914373088685016,0.9914055367256955,1635.0
